,cluster_id,firing_rate,presence_ratio,isi_viol,amplitude_cutoff,isolation_distance,l_ratio,d_prime,nn_hit_rate,nn_miss_rate,silhouette_score,max_drift,cumulative_drift,epoch_name_quality_metrics,epoch_name_waveform_metrics,peak_channel,snr,duration,halfwidth,PT_ratio,repolarization_slope,recovery_slope,amplitude,spread,velocity_above,velocity_below
10,10,0.04029268497559019,0.91,0.0,0.23689115622063459,22.917551928019385,0.012089333558475508,3.231549266105942,0.0,3.3340001333600056e-05,,0.27,0.0,complete_session,complete_session,9,1.868736658171929,0.6455611390284756,0.2609715242881072,0.7825627327502706,0.3022734808693203,-0.06276225388697458,119.60115189873414,80.0,0.4807370184254611,-0.9614740368509214
11,11,0.011526768106940989,0.51,0.0,0.0022901108142573644,29.781599843015904,0.0011446539081551702,3.4177171204664116,,0.0,,,0.0,complete_session,complete_session,9,2.186554774517733,0.4395309882747069,0.16482412060301505,0.5680610294793129,0.33686694825044816,-0.0647985662040702,114.1837168141593,90.0,0.21584111031347236,3.2964824120603007
12,12,7.136395546562758,0.99,0.00750732920199499,0.000949881003639411,89.22438543982486,0.0006757101865981042,5.675255692768678,0.978644382544104,0.0010718113612004287,0.2659953871908587,42.38,125.26,complete_session,complete_session,10,2.7978179641780327,0.6867671691792293,0.2747068676716918,0.5058001459865655,0.3272627163095568,-0.061615014334961075,124.41000000000004,70.00000000000001,1.0301507537688441,-1.0988274706867671
13,13,10.52903962150745,0.99,0.007242442606391229,0.004351079182942044,103.4116832331999,2.1354466145005526e-05,4.9140705436210474,0.996,0.00011215791834903544,0.19359780228129206,27.65,95.14,complete_session,complete_session,10,3.765861841629453,0.5906197654941373,0.21976549413735344,0.5252435277772032,0.4389989972713082,-0.0859063473978112,159.4284900000001,80.0,-0.1373534338358455,-0.2747068676716921
14,14,8.084344714861896,0.99,0.08833454732806127,0.04844303190702783,56.37341063267506,0.01315370039548892,3.3190285240457373,0.7870597870597871,0.007192744709684145,0.17136653643461486,29.22,211.33,complete_session,complete_session,14,1.162601845518514,0.4807370184254607,0.2472361809045225,0.5087818025383617,0.1895861664332,-0.03182961302287192,67.73052,70.00000000000001,0.3433835845896137,-0.4807370184254606
15,15,0.00673244862883279,0.41,0.0,0.3152472375437109,98.57303652586087,2.434770445736804e-09,6.160126759468315,,0.0,,,0.0,complete_session,complete_session,10,2.2651074579726216,0.5494137353433837,0.2609715242881072,2.396814575463436,0.3642519717890181,-0.08179955530393766,114.2434090909091,110.0,-0.4777510742116381,0.20603015075376932
16,16,8.454833403042512,0.99,0.042788116087537215,0.37775459673244466,68.3768139414426,0.003376446663085171,2.607046710233547,0.9481680071492404,0.002769987188809252,0.16096694412512166,23.29,128.89,complete_session,complete_session,13,1.699821493616262,0.535678391959799,0.19229480737018426,0.5105392469869386,0.38038473626785385,-0.04546882660777528,122.54423999999992,90.0,0.6867671691792302,-0.0196219191194065
17,17,5.7130947023490615,0.99,0.036313000448986325,0.0006551831694836076,73.78385199965435,0.0005543034395549897,4.652840000658031,0.9788359788359788,0.0007864861168102859,0.21606774096183912,27.23,99.83,complete_session,complete_session,14,3.5222932534136677,0.5494137353433836,0.21976549413735344,0.4937884303295504,0.5959883030128451,-0.1077118964618935,207.9597,80.0,1.0301507537688452,-0.019621919119406504
18,18,7.21218659703583,0.99,0.0007350373005365375,0.00019651160281636737,88.06023845893516,5.44636681418939e-05,6.325046532100022,1.0,0.00010320982557539478,0.28450817447592675,38.36,156.64,complete_session,complete_session,13,4.032652494464875,0.5494137353433836,0.17855946398659958,0.4516995285258971,0.8134540672733565,-0.11612240943903453,274.8860400000001,80.0,0.34338358458961504,-1.2165589854032064
19,19,7.126806907606541,0.99,0.040648737620832154,0.0031315018270121307,59.53777523713777,0.007493517202382032,3.961035647376286,0.8862007168458781,0.003808336795457693,0.12264630092126814,29.18,133.57,complete_session,complete_session,13,2.220585784991442,0.4944723618090452,0.19229480737018426,0.4801564277183379,0.491504523717297,-0.06810094437035401,156.2807999999999,70.00000000000001,0.34338358458961504,-0.5494137353433841
